delta_team_y,delta_team_avg_top_speed,delta_team_id,delta_team_goals,delta_team_passes_attempted,delta_team_passes_completed,delta_team_name,delta_top11_avg_age,delta_team_minutes,delta_top11_avg_pass_acc,delta_top11_goals,delta_team_assists,delta_team_pass_acc,delta_top11_assists,delta_points,home_team_id,away_team_id,date_utc
,,-265,,,,,,,,,,,,-3,73.0,338.0,2025-01-26 14:00:00+00:00
,,-505,,,,,,,,,,,,0,58.0,563.0,2025-01-26 16:30:00+00:00
,,-3,,,,,,,,,,,,-3,63.0,66.0,2025-01-26 19:00:00+00:00
,,-46,,,,,,,,,,,,3,351.0,397.0,2025-02-01 12:30:00+00:00
,,4,,,,,,,,,,,,-3,67.0,63.0,2025-02-01 15:00:00+00:00
,,-276,,,,,,,,,,,,3,62.0,338.0,2025-02-01 15:00:00+00:00
,,980,,,,,,,,,,,,-3,1044.0,64.0,2025-02-01 15:00:00+00:00
,,9,,,,,,,,,,,,-3,349.0,340.0,2025-02-01 15:00:00+00:00
,,18,,,,,,,,,,,,3,76.0,58.0,2025-02-01 17:30:00+00:00
,,-288,,,,,,,,,,,,-3,66.0,354.0,2025-02-02 14:00:00+00:00
,,329,,,,,,,,,,,,-3,402.0,73.0,2025-02-02 14:00:00+00:00
,,-8,,,,,,,,,,,,3,57.0,65.0,2025-02-02 16:30:00+00:00
,,-502,,,,,,,,,,,,3,61.0,563.0,2025-02-03 20:00:00+00:00
,,336,,,,,,,,,,,,3,397.0,61.0,2025-02-14 20:00:00+00:00
,,281,,,,,,,,,,,,-3,338.0,57.0,2025-02-15 12:30:00+00:00
,,-704,,,,,,,,,,,,-3,340.0,1044.0,2025-02-15 15:00:00+00:00
,,161,,,,,,,,,,,,-3,563.0,402.0,2025-02-15 15:00:00+00:00
,,-291,,,,,,,,,,,,0,58.0,349.0,2025-02-15 15:00:00+00:00
,,-2,,,,,,,,,,,,3,65.0,67.0,2025-02-15 15:00:00+00:00
,,-288,,,,,,,,,,,,3,63.0,351.0,2025-02-15 15:00:00+00:00
,,292,,,,,,,,,,,,-3,354.0,62.0,2025-02-15 17:30:00+00:00
,,-12,,,,,,,,,,,,3,64.0,76.0,2025-02-16 14:00:00+00:00
,,7,,,,,,,,,,,,3,73.0,66.0,2025-02-16 16:30:00+00:00
,,-64,,,,,,,,,,,,-3,338.0,402.0,2025-02-21 20:00:00+00:00
,,-4,,,,,,,,,,,,0,62.0,66.0,2025-02-22 12:30:00+00:00
,,-57,,,,,,,,,,,,-3,340.0,397.0,2025-02-22 15:00:00+00:00
,,276,,,,,,,,,,,,-3,349.0,73.0,2025-02-22 15:00:00+00:00
,,-291,,,,,,,,,,,,-3,63.0,354.0,2025-02-22 15:00:00+00:00
,,-506,,,,,,,,,,,,-3,57.0,563.0,2025-02-22 15:00:00+00:00
,,968,,,,,,,,,,,,-3,1044.0,76.0,2025-02-22 15:00:00+00:00
,,-3,,,,,,,,,,,,3,58.0,61.0,2025-02-22 17:30:00+00:00
,,-284,,,,,,,,,,,,3,67.0,351.0,2025-02-23 14:00:00+00:00
,,1,,,,,,,,,,,,-3,65.0,64.0,2025-02-23 16:30:00+00:00
,,-647,,,,,,,,,,,,3,397.0,1044.0,2025-02-25 19:30:00+00:00
,,296,,,,,,,,,,,,3,354.0,58.0,2025-02-25 19:30:00+00:00
,,13,,,,,,,,,,,,-3,76.0,63.0,2025-02-25 19:30:00+00:00
,,-279,,,,,,,,,,,,3,61.0,340.0,2025-02-25 20:15:00+00:00
,,294,,,,,,,,,,,,0,351.0,57.0,2025-02-26 19:30:00+00:00
,,340,,,,,,,,,,,,0,402.0,62.0,2025-02-26 19:30:00+00:00
,,8,,,,,,,,,,,,-3,73.0,65.0,2025-02-26 19:30:00+00:00
,,-283,,,,,,,,,,,,3,66.0,349.0,2025-02-26 19:30:00+00:00
,,-3,,,,,,,,,,,,3,64.0,67.0,2025-02-26 20:15:00+00:00
,,225,,,,,,,,,,,,3,563.0,338.0,2025-02-27 20:00:00+00:00
,,286,,,,,,,,,,,,3,351.0,65.0,2025-03-08 12:30:00+00:00
,,334,,,,,,,,,,,,3,397.0,63.0,2025-03-08 15:00:00+00:00
,,5,,,,,,,,,,,,3,354.0,349.0,2025-03-08 15:00:00+00:00
,,-276,,,,,,,,,,,,3,64.0,340.0,2025-03-08 15:00:00+00:00
,,344,,,,,,,,,,,,-3,402.0,58.0,2025-03-08 17:30:00+00:00
,,14,,,,,,,,,,,,0,76.0,62.0,2025-03-08 20:00:00+00:00
,,-971,,,,,,,,,,,,0,73.0,1044.0,2025-03-09 14:00:00+00:00
,,-277,,,,,,,,,,,,3,61.0,338.0,2025-03-09 14:00:00+00:00
,,9,,,,,,,,,,,,0,66.0,57.0,2025-03-09 16:30:00+00:00
,,496,,,,,,,,,,,,-3,563.0,67.0,2025-03-10 20:00:00+00:00
,,-6,,,,,,,,,,,,0,58.0,64.0,2025-02-19 19:30:00+00:00
,,-501,,,,,,,,,,,,0,62.0,563.0,2025-03-15 15:00:00+00:00
,,-2,,,,,,,,,,,,-3,349.0,351.0,2025-03-15 15:00:00+00:00
,,-332,,,,,,,,,,,,0,65.0,397.0,2025-03-15 15:00:00+00:00
,,264,,,,,,,,,,,,-3,340.0,76.0,2025-03-15 15:00:00+00:00
,,642,,,,,,,,,,,,-3,1044.0,402.0,2025-03-15 17:30:00+00:00
,,-4,,,,,,,,,,,,3,57.0,61.0,2025-03-16 13:30:00+00:00
,,-10,,,,,,,,,,,,3,63.0,73.0,2025-03-16 13:30:00+00:00
,,272,,,,,,,,,,,,-3,338.0,66.0,2025-03-16 19:00:00+00:00
,,-287,,,,,,,,,,,,3,67.0,354.0,2025-04-16 18:30:00+00:00
,,-6,,,,,,,,,,,,3,57.0,63.0,2025-04-01 18:45:00+00:00
,,-487,,,,,,,,,,,,3,76.0,563.0,2025-04-01 18:45:00+00:00
,,285,,,,,,,,,,,,3,351.0,66.0,2025-04-01 19:00:00+00:00
,,695,,,,,,,,,,,,-3,1044.0,349.0,2025-04-02 18:45:00+00:00
,,339,,,,,,,,,,,,-3,397.0,58.0,2025-04-02 18:45:00+00:00
,,-273,,,,,,,,,,,,3,65.0,338.0,2025-04-02 18:45:00+00:00
,,-335,,,,,,,,,,,,3,67.0,402.0,2025-04-02 18:45:00+00:00
,,-14,,,,,,,,,,,,0,340.0,354.0,2025-04-02 18:45:00+00:00
,,2,,,,,,,,,,,,3,64.0,62.0,2025-04-02 19:00:00+00:00
,,-12,,,,,,,,,,,,3,61.0,73.0,2025-04-03 19:00:00+00:00
,,5,,,,,,,,,,,,0,62.0,57.0,2025-04-05 11:30:00+00:00
,,-43,,,,,,,,,,,,3,354.0,397.0,2025-04-05 14:00:00+00:00
,,273,,,,,,,,,,,,-3,349.0,76.0,2025-04-05 14:00:00+00:00
,,-481,,,,,,,,,,,,0,563.0,1044.0,2025-04-05 14:00:00+00:00
,,-293,,,,,,,,,,,,3,58.0,351.0,2025-04-05 16:30:00+00:00
,,341,,,,,,,,,,,,0,402.0,61.0,2025-04-06 13:00:00+00:00
,,-1,,,,,,,,,,,,3,63.0,64.0,2025-04-06 13:00:00+00:00
,,-267,,,,,,,,,,,,3,73.0,340.0,2025-04-06 13:00:00+00:00
,,1,,,,,,,,,,,,0,66.0,65.0,2025-04-06 15:30:00+00:00
,,271,,,,,,,,,,,,-3,338.0,67.0,2025-04-07 19:00:00+00:00
,,-289,,,,,,,,,,,,3,65.0,354.0,2025-04-12 11:30:00+00:00
